,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price,car_tier
0,2023-04-26,"Braun, Hane and Raynor",Chevrolet,Express 1500,2012,Fuscia,91007,Luxury
1,2023-02-18,Rath and Sons,Lotus,Elan,2017,Turquoise,17587,Economy
2,2022-11-14,"Mayert, Kuvalis and Lindgren",Lexus,SC,2015,Teal,78650,Budget
3,2023-04-27,Orn Inc,Infiniti,EX,2021,Green,76409,Off-Road
4,2023-03-02,Jones-Fay,Volkswagen,Jetta,2020,Mauv,28317,Economy
5,2023-05-01,Kub-Kshlerin,Volvo,C70,2018,Indigo,64441,Sports
6,2022-12-29,Mills-Mante,Toyota,Tacoma,2010,Khaki,30500,Budget
7,2022-11-25,Wilkinson-Lueilwitz,Volkswagen,Jetta,2022,Purple,40044,Budget
8,2023-04-05,Bergnaum Group,Infiniti,G,2022,Violet,44746,Budget
9,2022-12-04,Zulauf LLC,Mercury,Grand Marquis,2011,Mauv,50585,Economy
10,2022-12-27,Kris Inc,Chrysler,Sebring,2018,Crimson,56876,Economy
11,2022-11-27,"Hackett, Cremin and Graham",Suzuki,Sidekick,2013,Puce,29761,Economy
12,2023-03-04,Raynor-Schmitt,Saturn,S-Series,2013,Purple,63515,Sports
13,2023-02-23,Herman LLC,Lincoln,Mark VII,2023,Maroon,80713,Sports
14,2023-05-06,Bosco LLC,Ford,Bronco II,2022,Violet,26431,Luxury
15,2022-12-04,Hoeger-Rodriguez,Ford,Thunderbird,2012,Puce,86162,Budget
16,2023-02-08,"Lakin, Bergnaum and Cummings",Hyundai,Tiburon,2021,Mauv,51279,Off-Road
17,2023-02-12,"Auer, Green and Ruecker",Lexus,RX,2021,Purple,27857,Luxury
18,2022-11-19,Rempel-Crooks,Hyundai,Tiburon,2014,Fuscia,14878,Sports
19,2023-01-04,Quigley Group,Scion,xB,2011,Yellow,81272,Luxury
20,2023-03-20,"Armstrong, Schamberger and Watsica",Lexus,LX,2012,Turquoise,54932,Luxury
21,2022-11-17,Green-Will,GMC,Yukon XL 1500,2011,Pink,14953,Economy
22,2023-01-15,Romaguera LLC,Suzuki,Samurai,2011,Puce,72435,Off-Road
23,2023-02-14,Ryan-Lind,Chevrolet,Tahoe,2012,Khaki,85843,Budget
24,2022-11-27,Prosacco-Metz,GMC,Envoy XUV,2023,Yellow,83251,Luxury
25,2022-12-25,"D'Amore, Braun and Kunze",Aston Martin,V8 Vantage S,2011,Fuscia,14744,Budget
26,2023-02-14,Heidenreich-Schiller,BMW,Z3,2018,Green,31371,Budget
27,2023-02-18,Thiel-Haag,Honda,Odyssey,2014,Red,26689,Sports
28,2022-11-21,"Casper, Kuphal and Okuneva",Lexus,SC,2023,Teal,22434,Economy
29,2023-02-15,Hills Inc,Chevrolet,Tracker,2011,Fuscia,33758,Off-Road
30,2023-03-19,Stroman-Turcotte,Nissan,Sentra,2023,Crimson,14266,Luxury
31,2022-12-06,"Satterfield, Douglas and Littel",Toyota,Avalon,2014,Orange,80606,Off-Road
32,2023-04-20,"Toy, Runolfsson and Corwin",Holden,VS Commodore,2017,Goldenrod,86399,Luxury
33,2023-03-20,Boehm Inc,Buick,Riviera,2018,Aquamarine,67401,Budget
34,2022-12-30,Johnston-Orn,Lamborghini,Diablo,2011,Blue,20493,Luxury
35,2022-12-19,McClure-Koss,Dodge,Caravan,2020,Teal,14692,Budget
36,2023-01-13,Dibbert Group,Aston Martin,V8 Vantage,2011,Turquoise,77875,Sports
37,2023-04-10,Kunde-Goodwin,Dodge,Ram,2011,Goldenrod,40651,Budget
38,2022-11-24,"Hahn, Weissnat and Bergstrom",Pontiac,GTO,2020,Turquoise,74992,Budget
39,2022-11-16,"Armstrong, Schultz and Weimann",Ford,Bronco II,2016,Red,34498,Economy
40,2022-12-06,"Moen, Barton and Padberg",Chevrolet,Suburban 2500,2014,Maroon,93192,Budget
41,2023-05-03,McGlynn Group,Mazda,MX-3,2018,Blue,92219,Sports
42,2023-03-11,"Hodkiewicz, Gusikowski and Champlin",Mitsubishi,Galant,2011,Green,34900,Off-Road
43,2023-01-03,Bruen LLC,Lincoln,Town Car,2015,Red,94200,Off-Road
44,2022-12-22,Mann-Murphy,Chevrolet,Express 3500,2022,Red,67486,Economy
45,2023-03-24,Fadel LLC,Toyota,Camry,2018,Mauv,97092,Sports
46,2023-03-11,Bernier and Sons,Jaguar,XK,2012,Pink,41275,Economy
47,2023-02-06,"Farrell, Lowe and Cremin",Merkur,XR4Ti,2012,Blue,16021,Luxury
48,2023-01-29,"Kling, Nicolas and Kautzer",Jeep,Wrangler,2021,Turquoise,99756,Off-Road
49,2023-05-05,Hickle-Cremin,GMC,Sierra 1500,2016,Green,51391,Sports
50,2023-02-14,Hansen LLC,Hyundai,Entourage,2019,Aquamarine,75081,Economy
51,2022-12-06,Hilll Inc,Kia,Sportage,2012,Violet,27716,Budget
52,2023-04-20,Mayert-Barrows,Mercedes-Benz,SLK-Class,2016,Blue,51682,Off-Road
53,2023-02-12,"Waters, Denesik and Weimann",Audi,S6,2021,Pink,73457,Luxury
54,2022-12-02,"Robel, Schamberger and Kozey",Mitsubishi,Truck,2018,Indigo,91251,Sports
55,2023-05-05,Funk Inc,Ford,Aerostar,2021,Purple,15427,Luxury
56,2023-04-24,Windler LLC,GMC,Canyon,2010,Green,48528,Budget
57,2022-12-18,"Roob, Predovic and Zboncak",Pontiac,Daewoo Kalos,2018,Violet,73022,Luxury
58,2023-04-01,Davis-Lang,Porsche,911,2022,Turquoise,40059,Economy
59,2023-04-05,"Bergnaum, Frami and Veum",Lexus,GS,2010,Violet,32144,Luxury
60,2022-12-08,"O'Hara, Hermiston and Feil",Geo,Prizm,2014,Turquoise,88046,Budget
61,2022-12-29,Erdman-Mertz,Lexus,RX,2010,Khaki,30665,Luxury
62,2023-02-25,Collins-Smitham,Mazda,Tribute,2016,Khaki,88919,Economy
63,2023-03-18,Parker-Metz,MINI,Cooper,2015,Orange,92907,Luxury
64,2022-11-15,Glover-Watsica,Dodge,Ram Wagon B150,2011,Violet,53655,Sports
65,2023-04-30,"Denesik, Feeney and Waelchi",Isuzu,Rodeo,2012,Green,31157,Luxury
66,2022-12-16,"Bayer, Rempel and Davis",Geo,Metro,2011,Khaki,65956,Budget
67,2023-04-05,Nicolas and Sons,Mazda,RX-8,2011,Indigo,66065,Economy
68,2023-04-20,Jacobi Inc,Toyota,Prius,2011,Red,79625,Budget
69,2023-02-13,"Turner, Stracke and Raynor",Chevrolet,G-Series G30,2019,Violet,89330,Budget
70,2022-11-19,"Von, Wunsch and Green",BMW,7 Series,2013,Red,57871,Economy
