id,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price
1,2020-11-08,Maggio LLC,Mitsubishi,Mighty Max Macro,1992,Turquoise,45035
2,2022-10-31,"Hintz, Schmitt and Gulgowski",Dodge,Ram 2500,1998,Turquoise,23977
3,2019-11-29,Herman-Wyman,Ford,Expedition,2003,Fuscia,22228
4,2021-09-23,Raynor Group,Dodge,Ram Van B150,1994,Crimson,39161
5,2019-03-15,"Waters, Connelly and Swaniawski",Audi,A6,1997,Yellow,66088
6,2021-03-01,Flatley-Carroll,Volkswagen,Golf,1998,Green,33118
7,2021-01-28,Skiles Group,Jeep,Compass,2010,Maroon,14906
8,2023-02-02,Schuppe Group,GMC,Jimmy,1994,Yellow,53757
9,2020-04-16,Hegmann-Kuhic,Nissan,NX,1992,Maroon,89616
10,2020-08-09,Marvin LLC,Jaguar,X-Type,2008,Turquoise,78985
11,2018-08-28,Monahan and Sons,Bentley,Continental,2012,Fuscia,23141
12,2020-09-21,Yundt-Medhurst,Oldsmobile,Regency,1998,Violet,54699
13,2020-07-15,Jaskolski-Murray,Honda,Ridgeline,2006,Maroon,81044
14,2018-04-10,Ondricka-Hackett,Pontiac,Vibe,2004,Indigo,54415
15,2018-10-16,Thiel Inc,Nissan,Sentra,1999,Crimson,25276
16,2020-12-12,Volkman Group,BMW,Z8,2002,Pink,13450
17,2019-11-28,Baumbach-Fisher,Volkswagen,New Beetle,1999,Violet,21927
18,2018-05-11,"Strosin, Murazik and Berge",Chevrolet,Camaro,1978,Goldenrod,79864
19,2020-06-28,Glover Inc,Acura,Integra,1992,Puce,83720
20,2023-01-20,Ebert Inc,Dodge,Grand Caravan,2006,Fuscia,16749
21,2021-11-07,Corwin-Balistreri,GMC,Yukon XL 1500,2004,Violet,62101
22,2020-04-30,"Gleason, Beatty and Brekke",Saab,9-3,2009,Maroon,40249
23,2023-02-12,"Heathcote, Veum and Mosciski",Chevrolet,3500,1996,Green,15067
24,2019-02-09,Rodriguez LLC,Nissan,Pathfinder Armada,2004,Puce,68879
25,2018-08-02,Langworth-Kuphal,Mercedes-Benz,SL-Class,2011,Indigo,60141
26,2018-09-10,"O'Kon, Rau and Tremblay",Buick,Estate,1990,Yellow,79867
27,2020-11-09,Kutch Group,Mercedes-Benz,R-Class,2007,Green,36489
28,2023-05-10,"Ebert, Torphy and Crona",Toyota,Avalon,2001,Yellow,92534
29,2021-05-18,Reinger LLC,Chrysler,300M,2001,Crimson,26552
30,2019-04-22,Franecki-Torp,Lincoln,Blackwood,2003,Purple,17394
31,2018-08-11,"Goodwin, Graham and Weimann",Buick,Century,2004,Crimson,66325
32,2019-06-08,"Smitham, Shanahan and Stark",Chevrolet,Lumina,1998,Pink,66410
33,2022-11-01,Toy and Sons,Nissan,Altima,1999,Green,40459
34,2022-01-15,Von Group,Toyota,Tacoma,2005,Khaki,59981
35,2021-02-02,Wehner Group,Toyota,Corolla,1998,Maroon,27560
36,2020-08-17,Blick Group,Buick,Enclave,2009,Orange,18428
37,2020-03-07,Nicolas-Auer,Mitsubishi,Mirage,1989,Green,74561
38,2022-05-06,"Zemlak, Fritsch and Orn",Volvo,XC90,2005,Yellow,22891
39,2022-12-11,Bashirian Group,Lotus,Esprit,1996,Fuscia,85070
40,2018-05-02,Waters LLC,Chevrolet,Camaro,2000,Indigo,46768
41,2023-02-14,"Mills, Langosh and Will",Maserati,Quattroporte,1984,Teal,31558
42,2020-07-18,Cummerata-Hintz,Audi,A6,2007,Indigo,86064
43,2019-01-22,Kling LLC,Ford,Mustang,1996,Goldenrod,66276
44,2022-02-23,Feest Group,Chrysler,Voyager,2003,Crimson,44123
45,2018-10-28,Wisozk-Hettinger,Chevrolet,Express 2500,2007,Yellow,46426
46,2020-02-15,Langosh-Hammes,Saab,900,1985,Violet,92726
47,2019-11-27,Runolfsdottir LLC,Jeep,Wrangler,2001,Blue,60801
48,2022-08-13,"Harvey, Streich and McCullough",Mazda,Millenia,2000,Indigo,34389
49,2021-07-16,Williamson and Sons,Audi,A6,1995,Violet,69963
50,2019-05-06,Moore and Sons,Saab,900,1992,Mauv,76320
51,2021-05-06,Leffler and Sons,Cadillac,Escalade EXT,2009,Orange,69020
52,2022-12-30,Hammes Group,Acura,RL,1999,Red,66893
53,2022-11-24,Lakin-Stiedemann,Subaru,Legacy,1989,Purple,80806
54,2021-10-04,Marvin-Goldner,Saturn,Relay,2007,Yellow,51370
55,2018-08-12,Corwin-Fritsch,Mitsubishi,Chariot,1989,Puce,28810
56,2021-04-26,Brakus-Yost,Land Rover,Range Rover,2004,Turquoise,45502
57,2020-07-14,Purdy and Sons,Mazda,Millenia,2002,Violet,26511
58,2022-04-10,"Wintheiser, Lind and Mitchell",Toyota,MR2,2004,Turquoise,86902
59,2023-01-13,"Koss, Sauer and Kulas",Nissan,Rogue,2011,Blue,44711
60,2022-02-01,"Veum, Gusikowski and Dibbert",Lexus,LS,2004,Indigo,43284
61,2018-12-30,Graham-Gorczany,Shelby,GT500,1968,Turquoise,14548
